ID,SSD
1,253565877.3163961
2,210867994.6576605
3,201953193.9818359
4,184960689.48477808
5,186527592.1157405
6,235904887.43210196
7,176769335.55247277
8,201187590.66001046
9,240100015.09151223
10,236866310.95029628
11,191599910.65803546
12,206510898.01398706
13,207393657.92605752
14,219893501.91156402
15,193495621.09782568
16,212245284.07689744
17,171759660.1300693
18,182049473.57474098
19,328837109.43076503
20,243770212.61289993
21,268378873.15921566
22,202405124.33936715
23,346665461.4789538
24,193759569.19798893
25,205094881.34022284
26,202077958.9287861
27,192469063.3901314
28,191531492.89455968
29,263594145.2794035
30,218271586.1923094
31,274182116.7831869
32,182236888.1401015
33,298475174.120003
34,188481822.0402924
35,264011721.36288977
36,210415780.53779235
37,224145906.00256968
38,186522622.22346917
39,191383716.78328195
40,232036384.761558
41,218156676.20008326
42,180043573.7779999
43,194100176.55511397
44,242248739.19730702
45,203368294.08999023
46,198432482.83799055
47,200064018.52924278
48,311068743.795386
49,181400536.3576429
50,197104296.60759246
51,240532011.27568203
52,175431483.8612052
53,222680437.53700405
54,193867038.80818626
55,192753509.44765636
56,215854037.99667245
57,249403647.33357346
58,180358898.93877298
59,224861761.81219178
60,250064221.63083974
61,174204121.9110324
62,173049627.43096602
63,309859208.28496796
64,202015094.9314327
65,195830330.77516335
66,203411286.0236571
67,258788360.27730426
68,271577808.8990732
69,234595500.39776072
70,235436981.7201915
71,193386544.5886691
72,210070313.10357082
73,223581725.94964045
74,218162959.3444727
75,201296401.120149
76,197357772.90901393
77,179882479.50956336
78,326308140.34490067
79,762271196.210414
80,253565877.3163961
81,466977839.8450408
82,185962983.46184918
83,215810794.24037772
84,199683684.48942333
85,180511605.19460312
86,197641513.7602673
87,269542057.7314966
88,189557610.36614782
89,199619971.88884753
90,203230132.24787736
91,220909726.31244838
92,192449456.74346206
93,189020180.9392171
94,176072518.32162622
95,176027526.39130697
96,178679234.9215061
97,485362399.238281
98,603765607.4157021
99,645061749.4322577
100,638445738.3521769
101,587242534.9200026
102,453382369.42208177
